,Name,StandardSmiles
5976,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](CC#N)CC[C@@H]12
5977,"CIS-(1R,2S)-2-AMINO-1,2,3,4-TETRAHYDRONAPHTHALEN-1-OL",N[C@H]1CCc2ccccc2[C@H]1O
5978,"2,3,6A,7,8,9-HEXAHYDRO-11H-[1,4]DIOXINO[2,3-G]PYRROLO[2,1-B][1,3]BENZOXAZIN-11-ONE",O=C1c2cc3c(cc2O[C@@H]2CCCN12)OCCO3
5979,[(2-AMINO-ALPHA-METHOXYIMINO-4-THIAZOLYLACETYL)AMINO]METHYLBORONIC ACID,CON=C(C(=O)NCB(O)O)c1csc(N)n1
5980,"4-chloro-6-{5-[(2-morpholin-4-ylethyl)amino]-1,2-benzisoxazol-3-yl}benzene-1,3-diol",Oc1cc(O)c(-c2noc3ccc(NCCN4CCOCC4)cc23)cc1Cl
5981,S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE,NC(CSCCC(=O)Nc1ccc2ncnc(Nc3ccccc3)c2c1)C(=O)O
5982,N-hexanoyl-L-homocysteine,CCCCCC(=O)NC(CCS)C(=O)O
5983,"(6AR,11AS,11BR)-10-ACETYL-9-HYDROXY-7,7-DIMETHYL-2,6,6A,7,11A,11B-HEXAHYDRO-11H-PYRROLO[1',2':2,3]ISOINDOLO[4,5,6-CD]INDOL-11-ONE",CC(=O)c1c(O)c2n(c1O)C(C)(C)[C@@H]1Cc3cccc4[nH]cc(c34)[C@H]21
5984,"2-({4-[(5-CHLORO-1H-INDOL-2-YL)SULFONYL]PIPERAZIN-1-YL}CARBONYL)THIENO[3,2-B]PYRIDINE 4-OXIDE",O=C(c1cc2c(ccc[n+]2[O-])s1)N1CCN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC1
5986,4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE,C[S+]([O-])c1ccc(-c2nc(-c3cccc(I)c3)c(-c3ccncc3)[nH]2)cc1
5987,N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide,NCCC(C(=O)Nc1ccc2[nH]nc(NC(=O)c3ccccc3)c2c1)c1cccc(Cl)c1
5988,"N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE",CN(C)Cc1ccc(-c2cccnc2)o1
5990,DECANE-1-THIOL,CCCCCCCCCCS
5991,6-(3-AMINOPHENYL)-N-(TERT-BUTYL)-2-(TRIFLUOROMETHYL)QUINAZOLIN-4-AMINE,CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12
5992,3-phenyl-5-(1H-pyrazol-3-yl)isoxazole,c1ccc(-c2cc(-c3cc[nH]n3)on2)cc1
5993,"PHENYL-5-(1H-PYRAZOL-3-YL)-1,3-THIAZOLE",c1ccc(-c2ncc(-c3cc[nH]n3)s2)cc1
5994,Tranilast,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
5995,"4-{[4-(4-fluoro-3-methylphenyl)-1,3-thiazol-2-yl]amino}-2-hydroxybenzoic acid",Cc1cc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)ccc1F
5996,N-METHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE,CNCc1ccc(-c2cccnc2)o1
5997,"2-(4-(AMINOMETHYL)PIPERIDIN-1-YL)-N-(3_CYCLOHEXYL-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)ACETAMIDE",NCC1CCN(CC(=O)Nc2cccc3c2C(=O)c2c(C4CCCCC4)n[nH]c2-3)CC1
5998,"N-cyclopropyl-N-(trans-4-pyridin-3-ylcyclohexyl)-4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]benzamide",C[C@](O)(c1ccc(C(=O)N(C2CC2)[C@H]2CC[C@H](c3cccnc3)CC2)cc1)C(F)(F)F
5999,"2-[(2,4-DICHLORO-5-METHYLPHENYL)SULFONYL]-1,3-DINITRO-5-(TRIFLUOROMETHYL)BENZENE",Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl
6000,(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE,NCc1ccc(-c2cccnc2)o1
6001,"1-(3-(2,4-DIMETHYLTHIAZOL-5-YL)-4-OXO-2,4-DIHYDROINDENO[1,2-C]PYRAZOL-5-YL)-3-(4-METHYLPIPERAZIN-1-YL)UREA",Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1
6002,"4,4'-DIPYRIDYL DISULFIDE",c1cc(SSc2ccncc2)ccn1
6003,"1-{[(3R)-3-methyl-4-({4-[(1S)-2,2,2-trifluoro-1-hydroxy-1-methylethyl]phenyl}sulfonyl)piperazin-1-yl]methyl}cyclopropanecarboxamide",C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc([C@](C)(O)C(F)(F)F)cc1
6004,"4-(2-aminoethoxy)-N-(2,5-diethoxyphenyl)-3,5-dimethylbenzamide",CCOc1ccc(OCC)c(NC(=O)c2cc(C)c(OCCN)c(C)c2)c1
6006,(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE,CC(C)CC(NC(=S)Nc1ccccc1)C(=O)N[C@H]1CCOC1O
6007,"6-(2-fluorobenzyl)-2,4-dimethyl-4,6-dihydro-5H-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one",Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C
6008,"N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE",CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1
6009,"N-((1R,2R)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE",CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1
6010,Lauryldimethylbetaine,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-]
6011,"5-(2-chlorophenyl)-1,3,4-thiadiazole-2-sulfonamide",NS(=O)(=O)c1nnc(-c2ccccc2Cl)s1
6012,octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside,CCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)C[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O
6013,"(2,6-Dimethylphenoxy)acetic acid",Cc1cccc(C)c1OCC(=O)O
6014,"4,4'-Dihydroxybenzophenone",O=C(c1ccc(O)cc1)c1ccc(O)cc1
6016,Dibromotyrosine,O=C(O)C(Cc1ccc(O)cc1)N(Br)Br
6017,"(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL",Oc1ccc([C@@H]2Oc3ccc(O)cc3C3CC(F)(F)C[C@@H]32)cc1
6018,3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER,CCOC(=O)CCc1ccc2ccc(C(N)N)cc2c1
6019,"2-decyl-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",CCCCCCC=CCCc1c(C)c(O)c(OC)c(OC)c1O
6020,Decyl(dimethyl)phosphine oxide,CCCCCCCCCCP(C)(C)=O
6021,"5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine",Nc1nc(N)c2c(OCC3CCN(Cc4ccccc4F)CC3)cccc2n1
6022,"5-{[1-(2,3-dichlorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine",Nc1nc(N)c2c(OCC3CCN(Cc4cccc(Cl)c4Cl)CC3)cccc2n1
6023,"5-[(1S)-1-(3-chlorophenyl)ethoxy]quinazoline-2,4-diamine",C[C@H](Oc1cccc2nc(N)nc(N)c12)c1cccc(Cl)c1
6024,Sebacic acid,O=C(O)CCCCCCCCC(=O)O
6025,"UNDECYLAMINE-N,N-DIMETHYL-N-OXIDE",CCCCCCCCCCC[N+](C)(C)[O-]
6026,"(2R)-1-[(5,6-DIPHENYL-7H-PYRROLO[2,3-D]PYRIMIDIN-4-YL)AMINO]PROPAN-2-OL",C[C@@H](O)CNc1ncnc2[nH]c(-c3ccccc3)c(-c3ccccc3)c12
6027,"(2R)-3-{[(4Z)-5,6-DIPHENYL-6,7-DIHYDRO-4H-PYRROLO[2,3-D]PYRIMIDIN-4-YLIDENE]AMINO}PROPANE-1,2-DIOL",OC[C@H](O)CNc1ncnc2c1=C(c1ccccc1)C(c1ccccc1)N=2
6028,"(3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(benzylsulfanyl)methyl]pyrrolidin-3-ol",Nc1ncnc2c(CN3C[C@H](CSCc4ccccc4)[C@@H](O)C3)c[nH]c12
6029,Decyl formate,CCCCCCCCCCOC=O
6030,N-ACETYL-L-PHENYLALANYL-4-[DIFLUORO(PHOSPHONO)METHYL]-L-PHENYLALANINAMIDE,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(N)=O
6031,"1-[2-DEOXYRIBOFURANOSYL]-2,4-DIFLUORO-5-METHYL-BENZENE-5'MONOPHOSPHATE",Cc1cc([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(F)cc1F
6032,"N-(5,6-DIPHENYLFURO[2,3-D]PYRIMIDIN-4-YL)GLYCINE",O=C(O)CNc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12
6033,"(5,6-DIPHENYL-FURO[2,3-D]PYRIMIDIN-4-YLAMINO)-ACETIC",CN(CCO)c1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12
6034,"3-AMINO-3-BENZYL-[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE",OCCNc1ncnc2[nH]c(-c3ccccc3)c(-c3ccccc3)c12
6035,PHOSPHONIC ACID 2-DODECANOYLAMINO-HEXYL ESTER PROPYL ESTER,CCCCCCCCCCCC(=O)NC(CCCC)CO[PH](=O)OCCC
6036,AC-(D)Phe-pro-borolys-OH,CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@@H](CCCCN)B(O)O
6037,AC-(D)PHE-PRO-BOROHOMOLYS-OH,CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@@H](CCCCCN)B(O)O
6038,AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH,CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)N[C@@H](CCCN)B(O)O
6039,"1,6-Naphthalenediol",Oc1ccc2c(O)cccc2c1
6040,PD-168393,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
6041,"2-[(1R)-1-CARBOXY-2-(4-HYDROXYPHENYL)ETHYL]-1,3-DIOXOISOINDOLINE-5-CARBOXYLIC ACID",O=C(O)c1ccc2c(c1)C(=O)N(C(Cc1ccc(O)cc1)C(=O)O)C2=O
6042,K-00546,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F
6043,"N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide",N#Cc1ccc(NCC(F)(F)c2ccccn2)c(F)c1CC(=O)NCCON=C(N)N
6044,"(3R,4S)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE",CS(=O)(=O)c1cccc(-c2cc(N3C[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ncn2)c1
6048,"N,4-Dimethyl-N-(1-phenyl-1H-pyrazol-5-yl)benzenesulfonamide",Cc1ccc(S(=O)(=O)N(C)c2ccnn2-c2ccccc2)cc1
6049,"2-[1-METHYLHEXYL]-4,6-DINITROPHENOL",CCCCCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
6050,TRANS-2-(DIMETHYLPHENYLSILYL)-PIPERIDINE-N-OXIDE,C[Si](C)(c1ccccc1)[C@@H]1CCCC[NH+]1[O-]
6051,(2S)-2-Methyl-3-phenylpropanoic acid,CC(Cc1ccccc1)C(=O)O
6052,"O,O-DIETHYL HYDROGEN THIOPHOSPHATE",CCOP(O)(=S)OCC
6054,"3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one",O=C1N=c2ccccc2=C1c1[nH]c2ccccc2c1NOCC[C@H](O)CO
6055,"2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one",Cc1nc(=O)c2c([nH]1)CCSC2
6056,"(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL",CCC=Cc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
6057,"(9S,12S)-9-(1-methylethyl)-7,10-dioxo-2-oxa-8,11-diazabicyclo[12.2.2]octadeca-1(16),14,17-triene-12-carboxylic acid",CC(C)C1NC(=O)CCCCOc2ccc(cc2)CC(C(=O)O)NC1=O
6058,[(1S)-1-(5-CHLORO-1-BENZOTHIEN-3-YL)-2-(2-NAPHTHYLAMINO)-2-OXOETHYL]PHOSPHONIC ACID,O=C(Nc1ccc2ccccc2c1)C(c1csc2ccc(Cl)cc12)P(=O)(O)O
6059,DODECANESULFONATE ION,CCCCCCCCCCCCS(=O)(=O)O
6060,"N-(dibenzo[b,d]thiophen-3-ylsulfonyl)-L-valine",CC(C)C(NS(=O)(=O)c1ccc2c(c1)sc1ccccc12)C(=O)O
6061,5-(DIMETHYLAMINO)-2-NAPHTHALENESULFONIC ACID,CN(C)c1cccc2cc(S(=O)(=O)O)ccc12
6062,"4-{[5-(CYCLOHEXYLMETHOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1
6063,"4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1
6064,"4-({5-[(4-AMINOCYCLOHEXYL)AMINO][1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL}AMINO)BENZENESULFONAMIDE",NC1CCC(Nc2cc(Nc3ccc(S(N)(=O)=O)cc3)n3ncnc3n2)CC1
6065,"4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1
6066,"METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE",COC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1
6067,"2-({[3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid",O=C(Nc1ccccc1C(=O)O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1
6068,"1-[(2,6-difluorophenyl)sulfonyl]-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine",O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1
6069,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide",Cc1cccc(C)c1C(=O)Nc1cc(Br)c(O)c(Br)c1
6070,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide",O=C(Nc1cc(Br)c(O)c(Br)c1)c1cc(Cl)ccc1Cl
6071,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide",Cc1cc(C(=O)Nc2cc(Br)c(O)c(Br)c2)cc(C)c1O
6072,methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate,COC(=O)CC(NC(=O)OC(C)(C)C)C(C)=O
6073,"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine",COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1
6074,"3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine",Nc1cccc(-c2cnn3ccc(Nc4cccc(Cl)c4)nc23)c1
6075,"3-carboxamido-1,3,5(10)-estratrien-17(R)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran",CC1(C)CC[C@@]2(CC[C@H]3[C@@H]4CCc5cc(C(N)=O)ccc5C4CC[C@@]32C)OC1=O
6076,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
6077,17alpha-Estriol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@H]2O
6078,"(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE",CC[C@H]1OC(=O)C(C)[C@@H](O)[C@@H](C)CC(C)C(=O)C=CC1C
6079,"6-AMINO-4-[2-(4-METHOXYPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",COc1ccc(CCc2c3[nH]cnc3cc3c(=O)nc(N)[nH]c23)cc1
6080,(S)-econazole,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
6082,"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL",COC[C@@H]1C[C@@]2(C)[C@H](O)CC[C@@H]2[C@@H]2CCc3cc(O)ccc3[C@H]12
6083,3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,Oc1ccc(-n2nc3ccc(O)cc3c2Cl)cc1
6084,PHENYLALANYLAMINODI(ETHYLOXY)ETHYL BENZENESULFONAMIDEAMINOCARBONYLBENZENESULFONAMIDE,NC(Cc1ccccc1)C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1
6085,"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21
6086,3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,CCc1c2cc(O)ccc2nn1-c1ccc(O)cc1
6087,"(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",COc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(C)C)P(=O)(O)O)cc2)cc1
6088,"6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID",Cc1c(C=CCCCC(=O)O)c(O)c2ccccc2c1O
6090,"(4Z)-2,8:7,12:11,15:14,18:17,22-PENTAANHYDRO-4,5,6,9,10,13,19,20,21-NONADEOXY-D-ARABINO-D-ALLO-D-ALLO-DOCOSA-4,9,20-TRIENITOL",OC[C@H]1O[C@H]2C=C[C@H]3O[C@H]4[C@H](O)[C@H]5OCC=CC[C@@H]5O[C@@H]4C[C@@H]3O[C@@H]2C/C=C\[C@@H]1O
6091,"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE",C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(CCOCc3cc(F)cc(F)c3)[C@@H](O)CC[C@@H]12
6092,4-Hydroxyphenylpyruvic acid,O=C(O)C(=O)Cc1ccc(O)cc1
6093,"[(3R)-3-(Methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid",CNC(=O)C1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)OC(C)(C)C
6094,Epibatidine,Clc1ccc([C@H]2C[C@@H]3CCC2N3)cn1
6095,DIETHYL 4-METHOXYPHENYL PHOSPHATE,CCOP(=O)(OCC)Oc1ccc(OC)cc1
6096,3-(4-NITRO-PHENOXY)-PROPAN-1-OL,O=[N+]([O-])c1ccc(OCCCO)cc1
6097,3-(5-methoxy-1H-indol-3-yl)propanoic acid,COc1ccc2[nH]cc(CCC(=O)O)c2c1
6098,Indeglitazar,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1
6099,t-Butylhydroquinone,CC(C)(C)c1cc(O)ccc1O
6100,"2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE",O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21
6101,3-fluoro-N-[3-(1H-tetrazol-5-yl)phenyl]benzamide,O=C(Nc1cccc(-c2nn[nH]n2)c1)c1cccc(F)c1
6102,"5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE",O=C1C=C(c2cccc(O)c2)S(=O)(=O)N1
6104,2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE,O=P(O)(O)OCCNS(=O)(=O)c1ccc2ccccc2c1
6105,"1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE",Cn1nc(C(F)(F)F)c2cc(C(=O)NCCS)sc21
6106,N-(1-benzylpiperidin-4-yl)-4-sulfanylbutanamide,O=C(CCCS)NC1CCN(Cc2ccccc2)CC1
6107,"N-[1-(2,6-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",COc1cccc(OC)c1CN1CCC(NC(=O)CCCS)CC1
6108,(2S)-4-(4-fluorobenzyl)-N-(2-sulfanylethyl)piperazine-2-carboxamide,O=C(NCCS)C1CN(Cc2ccc(F)cc2)CCN1
6109,(2S)-4-(4-fluorobenzyl)-N-(3-sulfanylpropyl)piperazine-2-carboxamide,O=C(NCCCS)C1CN(Cc2ccc(F)cc2)CCN1
6110,"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",COc1cc(Br)cc(CN2CCC(NC(=O)CCCS)CC2)c1OC
6111,"(3R)-3-(FLUOROMETHYL)-7-(THIOMORPHOLIN-4-YLSULFONYL)-1,2,3,4-TETRAHYDROISOQUINOLINE",O=S(=O)(c1ccc2c(c1)CN[C@@H](CF)C2)N1CCSCC1
6112,"(7R,12R,13R)-13-formyl-12,14-dihydroxy-3,5,7-trimethyltetradeca-2,4-dienoic acid",CC(=CC(=O)O)C=C(C)C[C@H](C)CCCC[C@@H](O)C(C=O)CO
6113,"4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE",NC(N)c1ccc([C@H]2C3C(=O)N(Cc4ccc(F)cc4)[C@H](C(F)F)[C@H]3[C@@H]3CCCN23)cc1
6114,"N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE",NS(=O)(=O)c1ccc(C(=O)NCc2cccc(F)c2F)cc1
6115,"S-[5-(TRIFLUOROMETHYL)-4H-1,2,4-TRIAZOL-3-YL] 5-(PHENYLETHYNYL)FURAN-2-CARBOTHIOATE",O=C(Sc1n[nH]c(C(F)(F)F)n1)c1ccc(C#Cc2ccccc2)o1
6116,Z-Val-Ala-Asp fluoromethyl ketone,CC(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(CC(=O)O)C(=O)OC(F)F
6117,2-{[4-(TRIFLUOROMETHOXY)BENZOYL]AMINO}ETHYL DIHYDROGEN PHOSPHATE,O=C(NCCOP(=O)(O)O)c1ccc(OC(F)(F)F)cc1
6118,3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID,CCc1ccc(NS(=O)(=O)c2ccc(F)cc2)c(C(=O)O)c1C
6119,"(3R)-N-(4-CHLOROPHENYL)-3-(HYDROXYMETHYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE",O=S(=O)(Nc1ccc(Cl)cc1)c1ccc2c(c1)CN[C@@H](CO)C2
6120,2-({[4-(TRIFLUOROMETHOXY)PHENYL]SULFONYL}AMINO)ETHYL DIHYDROGEN PHOSPHATE,O=P(O)(O)OCCNS(=O)(=O)c1ccc(OC(F)(F)F)cc1
6121,2-ACETYLAMINO-4-METHYL-PENTANOIC ACID (1-FORMYL-2-PHENYL-ETHYL)-AMIDE,CC(=O)NC(CC(C)C)C(=O)NC(C=O)Cc1ccccc1
6122,"(2R)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",CN(C)C[C@@H](O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1
6123,"(2S)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",CN(C)C[C@H](O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1
6124,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID",O=C(O)c1ccc(-c2cc(F)cc(F)c2)cc1
6125,DCFBC,O=C(O)CCC(NC(=O)NC(CSCc1ccc(F)cc1)C(=O)O)C(=O)O
6126,"(2S)-1-[4-({4-[(2,5-Dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",CN(C)C[C@H](O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1
6127,"1-[3-({[(4-AMINO-5-FLUORO-2-METHYLQUINOLIN-3-YL)METHYL]THIO}METHYL)PHENYL]-2,2,2-TRIFLUOROETHANE-1,1-DIOL",Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(O)(O)C(F)(F)F)c1
